systematic_name,beta_detour,p_detour,r2,abs_beta,common_name
YOL038W,0.9318397348735492,8.674298938961204e-32,0.86666408452688,0.9318397348735492,PRE6
YLR324W,0.9316463196570538,6.576953270395345e-32,0.8679336023556119,0.9316463196570538,PEX30
YGR253C,0.9314953367169867,3.768400039227764e-30,0.8488885648090689,0.9314953367169867,PUP2
YIL154C,0.9274282310611244,1.2951011603371255e-28,0.8310590560460458,0.9274282310611244,IMP21
YBR062C,0.9266912982294097,7.529556140170498e-34,0.887118752073262,0.9266912982294097,YBR062C
YBR273C,0.9238447708994308,5.038662106790513e-28,0.8243234706139491,0.9238447708994308,UBX7
YJL068C,0.9237599313551114,1.5327266387362016e-35,0.9010523716648065,0.9237599313551114,YJL068C
YKL145W,0.9219498912084354,1.2015676777331078e-28,0.8334781511063973,0.9219498912084354,RPT1
YOR259C,0.9217264224103415,3.0640395822916953e-28,0.8281089475803839,0.9217264224103415,RPT4
YIL065C,0.9181702205158438,6.860060141625729e-28,0.8246097743548783,0.9181702205158438,FIS1
YGR135W,0.9157933391925445,5.766381646776811e-29,0.839775081783196,0.9157933391925445,PRE9
YFR004W,0.914824111809347,7.928627315054926e-27,0.8103386025571184,0.914824111809347,RPN11
YPR108W,0.9140212294094837,2.066783948699117e-28,0.833249574578703,0.9140212294094837,RPN7
YDL007W,0.9138176629405352,4.540197054312801e-27,0.8144290795989156,0.9138176629405352,RPT2
YBL041W,0.9132173815284625,4.654195303278947e-27,0.8145114241533746,0.9132173815284625,PRE7
YDL100C,0.9102618465492895,7.841635745335224e-27,0.8122985376597718,0.9102618465492895,GET3
YMR170C,0.9102520714058474,8.35253086699095e-28,0.8264402812339923,0.9102520714058474,ALD2
YBR204C,0.9100556241008451,5.723072387657457e-28,0.8287750425290529,0.9100556241008451,LDH1
YKR018C,0.9092352528108727,2.0965982211848096e-26,0.8060987494901358,0.9092352528108727,YKR018C
YDR394W,0.9091080873650562,5.388912612222451e-26,0.7995328384889487,0.9091080873650562,RPT3
YDL169C,0.908595338647878,9.4860087435267e-27,0.8117262263598213,0.908595338647878,UGX2
YCR036W,0.9084305040141579,4.182209584796748e-34,0.8935706047359029,0.9084305040141579,RBK1
YHR200W,0.9082589077193488,6.145375323243511e-31,0.8648105931232717,0.9082589077193488,RPN10
YNL293W,0.9081707843907401,1.4991722167869784e-27,0.8236818005096802,0.9081707843907401,MSB3
YBR173C,0.9081439662691125,1.2024425667279598e-31,0.8719823578762401,0.9081439662691125,UMP1
YLR387C,0.9069825821604199,2.2726081647341847e-27,0.8215714552384371,0.9069825821604199,REH1
YFR052W,0.9067090964894025,3.215252776630444e-29,0.8460380394123809,0.9067090964894025,RPN12
YHR132C,0.906194189270267,3.285546827970747e-30,0.8576448657938086,0.906194189270267,ECM14
YFR050C,0.9056931379692448,2.5439383556307026e-27,0.8213756673619685,0.9056931379692448,PRE4
YLR337C,0.905686498490167,3.479284984046224e-28,0.8333095743360809,0.905686498490167,VRP1
YJL001W,0.9056531764629783,5.589352105714541e-29,0.8434705453284086,0.9056531764629783,PRE3
YLR025W,0.9056024258762041,3.052833871299968e-26,0.8050619120648109,0.9056024258762041,SNF7
YKL041W,0.9054228565191577,3.593594002374726e-28,0.8332204824515694,0.9054228565191577,VPS24
YFL044C,0.9050189072126477,2.939381882072839e-28,0.8345213292227635,0.9050189072126477,OTU1
YHR012W,0.9044662326610537,6.704374982628414e-32,0.8754481232487421,0.9044662326610537,VPS29
YOR117W,0.9044160637644054,2.501031535836171e-26,0.8069444370092516,0.9044160637644054,RPT5
YGL011C,0.9044154226296864,1.4652925611087187e-25,0.7943595378317386,0.9044154226296864,SCL1
YMR197C,0.9041203321317304,3.5975947171072646e-26,0.8045613899053952,0.9041203321317304,VTI1
YOR362C,0.9037511183516682,2.575317764359753e-28,0.8357354784136207,0.9037511183516682,PRE10
YDL097C,0.903654510148657,3.975654693154027e-27,0.8193771330682531,0.903654510148657,RPN6
YFR024C-A,0.9036523833258141,1.1156715839783628e-32,0.8827986648799205,0.9036523833258141,LSB3
YJL030W,0.9035015575721033,4.666021859510972e-31,0.867446649717989,0.9035015575721033,MAD2
YJR065C,0.9033149486441877,2.4965974344002016e-27,0.8224291668552939,0.9033149486441877,ARP3
YGL047W,0.9020924753271093,2.1521771468869224e-25,0.792563530533444,0.9020924753271093,ALG13
YNL215W,0.9020628961690144,3.5838270169701223e-31,0.8690251544756515,0.9020628961690144,IES2
YDR388W,0.9009999130044558,1.7896001724725485e-27,0.8253803757874209,0.9009999130044558,RVS167
YFR008W,0.9006863951888714,1.0917289246480412e-26,0.8140700423726924,0.9006863951888714,FAR7
YML092C,0.8997078505101587,2.0555435780972147e-29,0.8506969093716479,0.8997078505101587,PRE8
YMR178W,0.898849676892526,6.165403192862073e-26,0.8030872712125463,0.898849676892526,FPY1
YPL154C,0.8987385941084198,1.953970718958621e-24,0.7769091641858448,0.8987385941084198,PEP4
YDR427W,0.8985462381964805,5.429651258297622e-25,0.7871844596975898,0.8985462381964805,RPN9
YGR282C,0.8985416238161409,5.13637787419857e-27,0.8198026221091183,0.8985416238161409,BGL2
YER004W,0.8977874124572769,4.9446634067050985e-29,0.8468204262297707,0.8977874124572769,FMP52
YER094C,0.8977238278902442,1.4343428426007518e-27,0.8279801146047212,0.8977238278902442,PUP3
YCL017C,0.897575121189504,4.609726200101892e-28,0.8346819943316438,0.897575121189504,NFS1
YBR222C,0.8974795064987633,3.5840243703234385e-34,0.8966385775941005,0.8974795064987633,PCS60
YPL091W,0.8965453340678198,7.290759171411567e-26,0.8029180451157422,0.8965453340678198,GLR1
YGL087C,0.8962102606321619,3.8719658867838786e-34,0.8966727554412534,0.8962102606321619,MMS2
YJL159W,0.8956609919380576,5.668647107327456e-29,0.8468317814769952,0.8956609919380576,HSP150
YIR006C,0.8941949500947677,4.1268884382080187e-26,0.8078922869253695,0.8941949500947677,PAN1
YBR193C,0.8940640515002913,5.83187405717715e-28,0.8346318727775055,0.8940640515002913,MED8
YDR328C,0.8937827640838626,8.976081784721273e-26,0.8026673259909589,0.8937827640838626,SKP1
YHR209W,0.8937722219503406,2.0659312839802519e-35,0.9064832754096626,0.8937722219503406,CRG1
YDR415C,0.8923698354482108,1.1511061510005946e-31,0.876569520496839,0.8923698354482108,YDR415C
YHR030C,0.8913999076374205,1.424250296242859e-27,0.8304368471595567,0.8913999076374205,SLT2
YDR468C,0.8911588311539288,3.369641766177612e-31,0.8724344585192632,0.8911588311539288,TLG1
YHR188C,0.8910530894854296,7.470979789321378e-28,0.8343271407292094,0.8910530894854296,GPI16
YGL048C,0.8910185173407059,4.882252179460646e-25,0.7915407950612502,0.8910185173407059,RPT6
YNL320W,0.891010627442188,7.51843218885162e-33,0.8875188503641224,0.891010627442188,YNL320W
YHR132W-A,0.8907810921847596,7.644058612771765e-24,0.7695351595807425,0.8907810921847596,IGO2
YDR363W-A,0.8905926180218118,2.1238418924316143e-26,0.8138834176017555,0.8905926180218118,SEM1
YPR193C,0.8904619644317335,6.818973143997676e-28,0.8350701550139232,0.8904619644317335,HPA2
YBR269C,0.8895164182618348,2.0599329818571968e-25,0.7986251799727955,0.8895164182618348,SDH8
YLR250W,0.8891202679443194,2.439364965954554e-27,0.8281054245322759,0.8891202679443194,SSP120
YNR035C,0.8890266496641834,7.9331460079061e-26,0.8056233963743946,0.8890266496641834,ARC35
YOR321W,0.8885609857789905,1.0598469635941445e-26,0.819231676076972,0.8885609857789905,PMT3
YML012W,0.8884732180426902,3.3500415189915716e-23,0.757726677687397,0.8884732180426902,ERV25
YKL065C,0.8883790591054885,5.178837764165951e-24,0.774057456535422,0.8883790591054885,YET1
YDR486C,0.8876857551780237,1.492285305205677e-31,0.8768064750346369,0.8876857551780237,VPS60
YER119C,0.8870575400733239,6.411655212364998e-27,0.8230050121424329,0.8870575400733239,AVT6
YFL048C,0.8869809106276711,2.4730721572580997e-33,0.8925092978836134,0.8869809106276711,EMP47
YKR091W,0.886836160186832,4.7226485636470885e-25,0.7937419778553235,0.886836160186832,SRL3
YKL206C,0.8862068890266144,1.3939474081563665e-24,0.7857536165349822,0.8862068890266144,ADD66
YDR182W,0.8860825015246987,6.17654831672006e-26,0.8086290562785058,0.8860825015246987,CDC1
YDR294C,0.8859979478918014,3.8408446006577434e-33,0.8911962988419021,0.8859979478918014,DPL1
YMR314W,0.8858377824153982,7.400841856738031e-28,0.8363144014268797,0.8858377824153982,PRE5
YDR461C-A,0.8857800858239733,2.9500048823217643e-24,0.7799918172467725,0.8857800858239733,CMI8
YMR149W,0.8848843663049589,2.629531191486227e-23,0.7618542596030243,0.8848843663049589,SWP1
YNL265C,0.8848601150551172,8.755277764641447e-29,0.8482631142674857,0.8848601150551172,IST1
YBR264C,0.8845641432450715,1.5030671069946285e-26,0.818628984132514,0.8845641432450715,YPT10
YDR503C,0.8843376913211192,1.1485832183615264e-23,0.7693946887089272,0.8843376913211192,LPP1
YGL185C,0.8842375669499157,2.2543832832729128e-27,0.8304560918347483,0.8842375669499157,YGL185C
YDL045C,0.8840871810024512,4.434093430266279e-32,0.882610903625607,0.8840871810024512,FAD1
YLR356W,0.8833978269953077,7.69086592454359e-29,0.8494341549219597,0.8833978269953077,ATG33
YHR057C,0.8830685400678053,1.1119859865581513e-33,0.8961905559258367,0.8830685400678053,CPR2
YBR272C,0.8830205492387118,5.288400428685673e-31,0.8728582630836542,0.8830205492387118,HSM3
YBR036C,0.882970526364467,1.7171009667065245e-23,0.766634577909673,0.882970526364467,CSG2
YIL007C,0.8828525078666106,2.322751009156319e-25,0.800770414385948,0.8828525078666106,NAS2
YDL147W,0.8826048569829014,1.2703624579713389e-22,0.7485618613213414,0.8826048569829014,RPN5
YCR073W-A,0.8820092096658445,4.35630081724062e-25,0.7965775312992477,0.8820092096658445,SOL2
YFL038C,0.8819387748205538,1.1854630161924868e-25,0.8059366675773263,0.8819387748205538,YPT1
YIL010W,0.8818484940781667,1.7799951037087748e-36,0.9158064842940702,0.8818484940781667,DOT5
YGR186W,0.8818029978862711,1.6374488930849427e-27,0.8332595969431523,0.8818029978862711,TFG1
YDR246W,0.8812372120315703,1.9817798190756351e-22,0.7450558264453775,0.8812372120315703,TRS23
YDL054C,0.8807752599336947,5.822902470477636e-29,0.8517447377665628,0.8807752599336947,MCH1
YGR037C,0.8804739486760662,1.394752417233693e-22,0.7488835019773064,0.8804739486760662,ACB1
YLR370C,0.8803030537721046,7.141831557183065e-28,0.838553088377654,0.8803030537721046,ARC18
YFR051C,0.8802985753432839,3.2535663644522148e-25,0.7994957503610605,0.8802985753432839,RET2
YHR028C,0.8802131745086325,3.063342464298677e-23,0.7630081457316891,0.8802131745086325,DAP2
YML048W,0.8798945341953003,2.9701588030897886e-25,0.800338666809571,0.8798945341953003,GSF2
YNL264C,0.8798830546158846,6.076568805512203e-27,0.8261849191492215,0.8798830546158846,PDR17
YKR088C,0.87981127291188,1.772955159403462e-29,0.8579430087695885,0.87981127291188,TVP38
YNR049C,0.8796041388302649,2.446156668412136e-29,0.8564478679454904,0.8796041388302649,MSO1
YDL128W,0.8792215326054665,1.546358838886685e-35,0.910338342108645,0.8792215326054665,VCX1
YAL041W,0.8792065261400548,7.846274693391818e-27,0.8248839997057031,0.8792065261400548,CDC24
YDL144C,0.8790327931508826,6.051619282438715e-33,0.8912973793083334,0.8790327931508826,YDL144C
YDL161W,0.8788251209951894,4.02704411570881e-22,0.739464938296964,0.8788251209951894,ENT1
YOR163W,0.8786682630313962,5.862876743251773e-32,0.8829716189956596,0.8786682630313962,DDP1
YMR097C,0.8778619820082463,1.620617839931279e-31,0.8791879202009469,0.8778619820082463,MTG1
YHL002W,0.8769185882040705,5.601993812700593e-28,0.841135062670396,0.8769185882040705,HSE1
YOR039W,0.8768487051128133,2.7803678232370456e-26,0.8178504662210315,0.8768487051128133,CKB2
YGR111W,0.8762319766079117,5.289966725256538e-24,0.7800213728492019,0.8762319766079117,YGR111W
YDR036C,0.8761473008593843,9.586301189554948e-23,0.7548633434188132,0.8761473008593843,EHD3
YDR510W,0.875954540547615,6.603617104625864e-27,0.8272288545500384,0.875954540547615,SMT3
YGL161C,0.8759103829449045,7.416258613746321e-25,0.7954667385677874,0.8759103829449045,YIP5
YAL016W,0.8755383923742622,1.4159919679017116e-26,0.822686030531952,0.8755383923742622,TPD3
YDL052C,0.8749130990983562,1.0544738084530811e-26,0.8247735001365313,0.8749130990983562,SLC1
YER095W,0.8748644104784407,1.1243513327187724e-25,0.809399853867401,0.8748644104784407,RAD51
YNL243W,0.8743408599750504,1.0359401871907535e-27,0.8386621107651641,0.8743408599750504,SLA2
YDR236C,0.8741571519905817,4.321589487866797e-28,0.8435455379467807,0.8741571519905817,FMN1
YOR111W,0.8728796486540373,4.1641943605848093e-32,0.885805074541644,0.8728796486540373,YOR111W
YDR077W,0.8725993735799119,3.7988289660061435e-26,0.8175982181274721,0.8725993735799119,SED1
YMR122W-A,0.8725953237720737,4.74792574575532e-28,0.8435958818703578,0.8725953237720737,NCW1
YIL062C,0.8725116571706847,4.252738782709345e-25,0.8011083849313498,0.8725116571706847,ARC15
