systematic_name,t35_m5,t35_m15,t35_m30,t35_m60,t35_m90,t35_m120,t37_m5,t37_m15,t37_m30,t37_m60,t37_m90,t37_m120,t39_m5,t39_m15,t39_m30,t39_m60,t39_m90,t39_m120,t42_m5,t42_m15,t42_m30,t42_m60,t42_m90,t42_m120,t44_m5,t44_m15,t44_m30,t44_m60,t44_m90,t44_m120,t46_m5,t46_m15,t46_m30,t46_m60,t46_m90,t46_m120
Q0010,-313.0,3.0,7.0,27.0,19.0,11.5,-12.0,3.5,3.5,-248.5,28.0,34.0,-3.0,16.5,26.5,30.0,-296.5,-191.5,-398.0,-421.5,-265.5,-378.5,85.5,105.0,-326.5,-383.5,-135.5,-157.5,102.0,-62.5,23.5,82.0,-140.5,-135.5,104.0,-70.5
Q0017,-33.25,-41.25,-37.25,-17.25,-25.25,-32.75,-56.25,-40.75,-40.75,-10.75,-16.25,-10.25,-47.25,-27.75,-17.75,-14.25,14.25,10.25,-12.75,16.75,20.75,34.25,41.25,60.75,12.25,16.75,38.25,53.75,57.75,67.75,-20.75,37.75,62.25,61.25,59.75,63.75
Q0032,-15.75,-23.75,-19.75,0.25,-7.75,-15.25,-38.75,-23.25,-23.25,6.75,1.25,7.25,-29.75,-10.25,-0.25,3.25,31.75,27.75,-416.25,34.25,38.25,-221.75,58.75,-371.25,29.75,34.25,55.75,71.25,75.25,85.25,-3.25,55.25,79.75,-356.25,-141.25,-599.75
Q0045,-227.5,-370.5,13.5,196.5,99.5,31.5,706.5,412.5,304.5,343.5,118.5,-13.5,-514.5,-408.5,355.5,558.5,390.5,92.5,-918.5,-1147.5,-527.5,-181.5,863.5,1527.5,-1145.5,-1260.5,-771.5,473.5,886.5,1263.5,-889.5,-1342.5,-1684.5,-1863.5,-2060.5,-2172.5
Q0050,171.5,-220.5,62.5,95.5,-518.5,-978.5,575.5,-36.5,-50.5,50.5,-345.5,-68.5,-436.5,-603.5,-71.5,-106.5,133.5,36.5,-940.5,-847.5,-448.5,201.5,701.5,1148.5,-1338.5,-916.5,-317.5,718.5,1279.5,1406.5,-542.5,73.5,425.5,493.5,722.5,935.5
Q0055,-33.25,-41.25,-37.25,-17.25,-25.25,-32.75,-56.25,-40.75,-40.75,-10.75,-16.25,-10.25,-47.25,-27.75,-17.75,-14.25,14.25,10.25,-12.75,16.75,20.75,34.25,41.25,60.75,12.25,16.75,38.25,53.75,57.75,67.75,-20.75,37.75,62.25,61.25,59.75,63.75
Q0060,-246.5,-160.5,-1.5,-85.5,-124.5,-173.5,-18.5,-49.5,-133.5,-31.5,-162.5,59.5,-183.5,-244.5,1.5,1.5,-52.5,8.5,-128.5,-100.5,-3.5,71.5,255.5,341.5,-151.5,27.5,20.5,349.5,375.5,454.5,25.5,326.5,445.5,377.5,280.5,411.5
Q0065,-75.0,-223.0,-21.0,163.0,-80.0,57.0,137.0,21.0,96.0,95.0,116.0,168.0,-318.0,-100.0,263.0,325.0,325.0,241.0,-631.0,-741.0,-61.0,215.0,529.0,773.0,-1336.0,-857.0,-194.0,594.0,723.0,810.0,-1079.0,-1063.0,-1261.0,-1590.0,-1502.0,-1080.0
Q0070,-33.25,-41.25,-37.25,-17.25,-25.25,-32.75,-56.25,-40.75,-40.75,-10.75,-16.25,-10.25,-47.25,-27.75,-17.75,-14.25,14.25,10.25,-12.75,16.75,20.75,34.25,41.25,60.75,12.25,16.75,38.25,53.75,57.75,67.75,-20.75,37.75,62.25,61.25,59.75,63.75
Q0075,494.0,259.0,344.0,958.0,-108.0,599.0,985.0,869.0,582.0,917.0,-144.0,1069.0,-200.0,-525.0,143.0,108.0,207.0,-691.0,-1127.0,-1432.0,-957.0,-881.0,475.0,1049.0,-1292.0,-1588.0,-936.0,583.0,1129.0,917.0,-1087.0,-1591.0,-2121.0,-2440.0,-2668.0,-2722.0
Q0080,-33.25,-41.25,-37.25,-17.25,-25.25,-32.75,-56.25,-40.75,-40.75,-10.75,-16.25,-10.25,-47.25,-27.75,-17.75,-14.25,14.25,10.25,-12.75,16.75,20.75,34.25,41.25,60.75,12.25,16.75,38.25,53.75,57.75,67.75,-20.75,37.75,62.25,61.25,59.75,63.75
Q0085,-115.5,-121.5,-174.5,41.5,11.5,28.5,5.5,-192.5,-24.5,-35.5,-149.5,60.5,-197.5,118.5,2.5,-84.5,137.5,119.5,-184.5,-319.5,-116.5,-85.5,110.5,274.5,-129.5,-24.5,94.5,138.5,282.5,347.5,-160.5,-6.5,22.5,-2.5,133.5,281.5
Q0092,-33.25,-41.25,-37.25,-17.25,-25.25,-32.75,-56.25,-40.75,-40.75,-10.75,-16.25,-10.25,-47.25,-27.75,-17.75,-14.25,14.25,10.25,-12.75,16.75,20.75,34.25,41.25,60.75,12.25,16.75,38.25,53.75,57.75,67.75,-20.75,37.75,62.25,61.25,59.75,63.75
Q0105,0.0,79.0,-4.0,50.0,-72.0,-167.0,-48.0,-43.0,-42.0,-86.0,-147.0,-5.0,50.0,-180.0,23.0,55.0,10.0,-15.0,-78.0,-44.0,0.0,-252.0,1.0,30.0,-372.0,-126.0,90.0,135.0,232.0,301.0,75.0,-119.0,119.0,107.0,91.0,43.0
Q0110,-63.0,-79.0,204.5,-39.0,-25.0,209.0,-92.0,-61.0,-87.0,1.0,225.5,-1.0,194.5,-51.0,-146.0,-4.0,-114.0,252.0,-116.0,61.0,-41.0,-261.0,24.0,-35.0,-51.0,-2.0,67.0,117.0,13.0,38.0,221.0,99.0,56.0,76.0,45.0,77.0
Q0115,10.5,84.5,-28.5,105.5,-233.5,-91.5,130.5,154.5,47.5,-22.5,-214.5,-168.5,-46.5,-47.5,-5.5,-207.5,-141.5,-183.5,-203.5,-125.5,-186.5,-302.5,-82.5,28.5,6.5,-166.5,5.5,72.5,254.5,234.5,156.5,204.5,337.5,300.5,287.5,307.5
Q0120,8.0,-56.0,105.0,-8.0,-130.0,-143.0,184.0,-4.0,78.0,21.0,-161.0,2.0,-47.0,-2.0,-9.0,-69.0,-73.0,-94.0,-88.0,-135.0,-40.0,-72.0,62.0,208.0,-75.0,41.0,106.0,276.0,375.0,453.0,-12.0,334.0,344.0,425.0,476.0,418.0
Q0130,-3.5,-35.5,-30.5,-14.5,7.5,-40.5,18.5,-30.5,-14.5,0.5,13.5,36.5,-4.5,-39.5,-25.5,50.5,76.5,82.5,-16.5,-26.5,-3.5,-0.5,45.5,121.5,18.5,5.5,30.5,65.5,80.5,95.5,63.5,63.5,-6.5,-40.5,-49.5,-59.5
Q0140,447.0,91.0,329.0,250.0,-34.0,-3.0,352.0,156.0,236.0,96.0,7.0,218.0,-64.0,49.0,291.0,-16.0,102.0,26.0,-453.0,-216.0,-265.0,-246.0,-78.0,-169.0,-322.0,-668.0,3.0,284.0,51.0,324.0,-388.0,-505.0,-378.0,-793.0,-2173.0,-3526.0
Q0142,-33.25,-41.25,-37.25,-17.25,-25.25,-32.75,-56.25,-40.75,-40.75,-10.75,-16.25,-10.25,-47.25,-27.75,-17.75,-14.25,14.25,10.25,-12.75,16.75,20.75,34.25,41.25,60.75,12.25,16.75,38.25,53.75,57.75,67.75,-20.75,37.75,62.25,61.25,59.75,63.75
Q0143,5.75,-2.25,1.75,21.75,13.75,6.25,-17.25,-1.75,-1.75,-955.75,22.75,28.75,-8.25,11.25,-999.75,24.75,53.25,49.25,-1166.75,-2929.75,-1143.75,-794.75,-826.75,-699.75,51.25,-3035.75,77.25,92.75,-582.75,106.75,18.25,76.75,101.25,-3754.75,-1041.75,-2929.75
Q0144,-21.5,-29.5,-25.5,-5.5,-13.5,-21.0,-44.5,-29.0,-29.0,1.0,-4.5,1.5,-35.5,-16.0,-6.0,-2.5,26.0,22.0,-1.0,28.5,32.5,46.0,53.0,-133.0,24.0,28.5,50.0,65.5,69.5,79.5,-9.0,49.5,74.0,73.0,71.5,-273.0
Q0160,266.5,23.5,-34.5,0.5,-105.5,-185.5,658.5,353.5,-12.5,34.5,-147.5,-101.5,223.5,98.5,208.5,-0.5,32.5,-76.5,-53.5,-75.5,137.5,170.5,487.5,1303.5,-162.5,-194.5,-12.5,315.5,301.5,238.5,64.5,-148.5,-338.5,-466.5,-531.5,-544.5
Q0182,-33.25,-41.25,-37.25,-17.25,-25.25,-32.75,-56.25,-40.75,-40.75,-10.75,-16.25,-10.25,-47.25,-27.75,-17.75,-14.25,14.25,10.25,-12.75,16.75,20.75,34.25,41.25,60.75,12.25,16.75,38.25,53.75,57.75,67.75,-20.75,37.75,62.25,61.25,59.75,63.75
Q0250,52.0,253.0,143.0,25.0,-27.0,85.0,114.0,-183.0,3.0,-183.0,-210.0,-111.0,-28.0,-3.0,56.0,-49.0,-50.0,-67.0,-169.0,-307.0,-70.0,-84.0,199.0,103.0,-308.0,-355.0,-164.0,218.0,385.0,423.0,50.0,-18.0,242.0,405.0,193.0,229.0
Q0255,-108.5,144.0,-159.5,168.0,-99.5,152.5,129.0,144.5,-132.5,-123.5,-65.5,175.0,138.0,157.5,-77.5,-69.5,-101.5,-205.5,-384.5,3.5,-72.5,-152.5,-3.5,23.5,-181.5,-105.5,44.5,66.5,24.5,45.5,-117.5,39.5,247.5,80.5,54.5,-16.5
Q0275,143.5,67.5,180.5,195.5,-3.5,-101.5,262.5,138.5,-12.5,69.5,54.5,33.5,21.5,-90.5,54.5,-4.5,3.5,-67.5,-134.5,-736.5,-578.5,-404.5,-3.5,198.5,-696.5,-786.5,-315.5,106.5,396.5,548.5,-53.5,-124.5,-11.5,-123.5,380.5,195.5
Q0297,-33.25,-41.25,-37.25,-17.25,-25.25,-32.75,-56.25,-40.75,-40.75,-10.75,-16.25,-10.25,-47.25,-27.75,-17.75,-14.25,14.25,10.25,-12.75,16.75,20.75,34.25,41.25,60.75,12.25,16.75,38.25,53.75,57.75,67.75,-20.75,37.75,62.25,61.25,59.75,63.75
YAL001C,-27.5,-98.5,-3.5,162.5,237.5,154.5,-8.5,-441.5,160.5,169.5,330.5,213.5,3.5,-534.5,-15.5,463.5,490.5,471.5,294.5,-520.5,-388.5,-498.5,-473.5,-264.5,458.5,-9.5,-151.5,-380.5,-399.5,-447.5,428.5,521.5,207.5,-12.5,190.5,94.5
YAL002W,-36.0,-312.0,-78.0,63.0,140.0,144.0,41.0,-534.0,-109.0,81.0,100.0,109.0,166.0,-300.0,-270.0,-19.0,107.0,4.0,408.0,492.0,-113.0,-4.0,15.0,-45.0,194.0,184.0,-275.0,-59.0,141.0,87.0,171.0,-518.0,-1269.0,-1521.0,-1347.0,-1220.0
YAL003W,-7.0,9.0,28.0,26.0,10.0,21.0,-29.0,3.0,54.0,17.0,5.0,11.0,-35.0,-18.0,15.0,16.0,-6.0,-7.0,-25.0,-24.0,-8.0,0.0,-8.0,-7.0,-7.0,-14.0,4.0,28.0,35.0,44.0,37.0,0.0,-26.0,-31.0,-29.0,-31.0
YAL004W,67.5,-42.5,101.5,69.5,97.5,373.5,-28.5,12.5,95.5,160.5,390.0,162.5,-106.5,-159.5,-42.5,-0.5,179.5,67.5,-65.5,-3612.5,-2414.5,70.5,-121.5,-145.5,-79.5,20.5,0.5,119.5,261.5,128.5,-203.5,-71.5,-172.5,-144.5,-89.5,-256.5
YAL005C,43.0,100.0,113.0,150.0,152.0,134.0,1.0,2.0,105.0,101.0,109.0,102.0,-1.0,-33.0,23.0,45.0,56.0,46.0,6.0,-50.0,-48.0,-45.0,-40.0,-45.0,-10.0,-57.0,-57.0,-55.0,-57.0,-57.0,61.0,-53.0,-59.0,-56.0,-55.0,-56.0
