systematic_name,t35_m5,t35_m15,t35_m30,t35_m60,t35_m90,t35_m120,t37_m5,t37_m15,t37_m30,t37_m60,t37_m90,t37_m120,t39_m5,t39_m15,t39_m30,t39_m60,t39_m90,t39_m120,t42_m5,t42_m15,t42_m30,t42_m60,t42_m90,t42_m120,t44_m5,t44_m15,t44_m30,t44_m60,t44_m90,t44_m120,t46_m5,t46_m15,t46_m30,t46_m60,t46_m90,t46_m120
Q0010,0.75,5.75,-1.25,25.75,14.75,19.25,-26.25,-3.25,-0.75,-356.25,19.25,38.75,-20.75,5.75,25.75,32.75,-287.25,-256.25,-346.75,-475.75,-247.25,-470.25,107.25,118.25,-264.25,-233.25,111.25,117.25,128.75,-69.25,22.75,88.25,-110.25,-264.25,119.25,-116.25
Q0017,-44.25,-39.25,-46.25,-19.25,-30.25,-25.75,-71.25,-48.25,-45.75,-23.75,-25.75,-6.25,-65.75,-39.25,-19.25,-12.25,6.25,15.25,-13.75,13.75,20.25,54.75,62.25,73.25,22.75,29.25,66.25,72.25,83.75,90.75,-22.25,43.25,79.75,65.25,74.25,80.25
Q0032,-23.5,-18.5,-25.5,1.5,-9.5,-5.0,-50.5,-27.5,-25.0,-3.0,-5.0,14.5,-45.0,-18.5,1.5,8.5,27.0,36.0,7.0,34.5,41.0,-254.5,83.0,-396.0,43.5,50.0,87.0,93.0,104.5,111.5,-1.5,64.0,100.5,-282.5,-249.5,-1058.5
Q0045,-294.0,-231.0,77.0,433.0,267.0,127.0,860.0,725.0,1141.0,718.0,316.0,-77.0,-691.0,-419.0,251.0,761.0,819.0,129.0,-834.0,-1431.0,-879.0,-772.0,739.0,1553.0,-1301.0,-1360.0,-960.0,296.0,296.0,900.0,-991.0,-1449.0,-1944.0,-2111.0,-2280.0,-2302.0
Q0050,-20.5,-22.5,154.5,191.5,-694.5,-940.5,540.5,236.5,727.5,390.5,205.5,6.5,-749.5,-701.5,130.5,-308.5,562.5,41.5,-987.5,-1045.5,-658.5,-344.5,840.5,1149.5,-1645.5,-779.5,-492.5,976.5,1332.5,1645.5,-805.5,-6.5,40.5,-213.5,-50.5,259.5
Q0055,-44.25,-39.25,-46.25,-19.25,-30.25,-25.75,-71.25,-48.25,-45.75,-23.75,-25.75,-6.25,-65.75,-39.25,-19.25,-12.25,6.25,15.25,-13.75,13.75,20.25,54.75,62.25,73.25,22.75,29.25,66.25,72.25,83.75,90.75,-22.25,43.25,79.75,65.25,74.25,80.25
Q0060,-288.0,-174.0,-73.0,-53.0,-275.0,-194.0,-169.0,5.0,-135.0,11.0,-133.0,17.0,-274.0,-386.0,-5.0,22.0,53.0,-33.0,-168.0,-201.0,-166.0,35.0,259.0,322.0,-142.0,73.0,40.0,345.0,323.0,396.0,-134.0,306.0,303.0,140.0,99.0,188.0
Q0065,-12.5,-96.5,-40.5,212.5,92.5,12.5,123.5,119.5,304.5,176.5,20.5,80.5,-480.5,-159.5,208.5,449.5,365.5,248.5,-459.5,-907.5,-351.5,-33.5,530.5,794.5,-1623.5,-1045.5,-51.5,687.5,601.5,727.5,-1255.5,-1580.5,-2039.5,-2311.5,-2456.5,-2072.5
Q0070,-44.25,-39.25,-46.25,-19.25,-30.25,-25.75,-71.25,-48.25,-45.75,-23.75,-25.75,-6.25,-65.75,-39.25,-19.25,-12.25,6.25,15.25,-13.75,13.75,20.25,54.75,62.25,73.25,22.75,29.25,66.25,72.25,83.75,90.75,-22.25,43.25,79.75,65.25,74.25,80.25
Q0075,-232.0,316.0,80.0,950.0,207.0,204.0,1240.0,744.0,1236.0,851.0,-80.0,975.0,-833.0,-937.0,236.0,319.0,539.0,-718.0,-1210.0,-1862.0,-1254.0,-1524.0,523.0,1261.0,-1438.0,-1294.0,-826.0,1096.0,615.0,815.0,-1403.0,-2054.0,-2556.0,-2860.0,-2984.0,-3084.0
