systematic_name	cluster_id
Q0010	L.L.R
Q0017	L.L.R
Q0032	L.L.R
Q0045	R.R
Q0050	L.L.L
Q0055	L.L.R
Q0060	L.L.R
Q0065	R.L.L
Q0070	L.L.R
Q0075	R.R
Q0080	L.L.R
Q0085	L.L.R
Q0092	L.L.R
Q0105	L.L.R
Q0110	L.L.R
Q0115	L.L.R
Q0120	L.L.R
Q0130	L.L.R
Q0140	R.R
Q0142	L.L.R
Q0143	R.R
Q0144	L.L.R
Q0160	L.L.R
Q0182	L.L.R
Q0250	L.L.R
Q0255	L.L.R
Q0275	L.L.R
Q0297	L.L.R
YAL001C	R.L.L
YAL002W	R.L.L
YAL003W	L.L.R
YAL004W	R.L.L
YAL005C	L.L.R
YAL007C	L.L.R
YAL008W	R.L.L
YAL009W	L.L.L
YAL010C	L.L.L
YAL011W	R.L.L
YAL012W	L.L.R
YAL013W	L.L.R
YAL014C	R.L.L
YAL015C	L.L.R
YAL016C-A	R.L.L
YAL016C-B	L.L.R
YAL016W	L.L.L
YAL017W	R.L.R
YAL018C	R.R
YAL019W	R.L.L
YAL019W-A	L.L.R
YAL020C	L.L.L
YAL021C	L.L.L
YAL022C	L.R.L.L.R.R
YAL023C	L.L.R
YAL024C	L.L.R
YAL025C	L.R.R.R
YAL026C	L.L.R
YAL026C-A	L.R.L.R.R
YAL027W	R.L.L
YAL028W	R.L.R
YAL029C	L.L.R
YAL030W	L.L.L
YAL031C	R.L.R
YAL031W-A	L.L.R
YAL032C	R.L.L
YAL033W	L.R.L.R.L
YAL034C	R.L.R
YAL034C-B	L.L.R
YAL034W-A	L.L.L
YAL035W	L.L.R
YAL036C	L.R.R.R
YAL037C-A	L.L.R
YAL037C-B	L.L.R
YAL037W	L.L.R
YAL038W	L.L.R
YAL039C	L.L.L
YAL040C	L.R.L.L.L.R
YAL041W	L.L.L
YAL042C-A	R.L.L
YAL042W	L.L.R
YAL043C	L.L.L
YAL044C	L.L.R
YAL044W-A	L.L.R
YAL045C	L.L.R
YAL046C	L.L.R
YAL047C	L.L.L
YAL047W-A	L.L.R
YAL048C	L.L.R
YAL049C	L.L.L
YAL051W	R.L.L
YAL053W	R.L.L
YAL054C	L.L.R
YAL055W	L.L.L
YAL056C-A	L.L.R
