systematic_name	cluster_id
Q0010	R.L.L.R.L
Q0017	R.L.L.R.L
Q0032	R.L.L.R.L
Q0045	L.R.L
Q0050	R.L.R
Q0055	R.L.L.R.L
Q0060	R.L.L.L.L.L
Q0065	R.L.L.L.R.L.L
Q0070	R.L.L.R.L
Q0075	L.L
Q0080	R.L.L.R.L
Q0085	R.L.L.R.L
Q0092	R.L.L.R.L
Q0105	R.L.L.R.L
Q0110	R.L.L.R.L
Q0115	R.L.L.R.L
Q0120	R.L.L.R.L
Q0130	R.L.L.R.L
Q0140	L.L
Q0142	R.L.L.R.L
Q0143	L.L
Q0144	R.L.L.R.L
Q0160	R.L.L.L.L.R
Q0182	R.L.L.R.L
Q0250	R.L.L.R.L
Q0255	R.L.L.R.L
Q0275	R.L.L.R.L
Q0297	R.L.L.R.L
YAL001C	L.R.L
YAL002W	L.R.L
YAL003W	R.L.L.R.L
YAL004W	L.R.L
YAL005C	R.L.L.R.L
YAL007C	R.L.L.R.L
YAL008W	L.R.L
YAL009W	R.L.L.R.L
YAL010C	R.L.R
YAL011W	L.R.L
YAL012W	R.L.L.R.L
YAL013W	R.L.L.R.L
YAL014C	L.R.L
YAL015C	R.L.L.R.L
YAL016C-A	L.R.L
YAL016C-B	R.L.L.R.L
YAL016W	R.L.R
YAL017W	L.R.R.L
YAL018C	L.L
YAL019W	R.L.L.R.R
YAL019W-A	R.L.L.R.L
YAL020C	R.R.L
YAL021C	R.R.L
YAL022C	R.R.L
YAL023C	R.L.L.R.L
YAL024C	R.L.L.R.L
YAL025C	R.R.R
YAL026C	R.L.R
YAL026C-A	R.L.L.L.L.L
YAL027W	L.R.L
YAL028W	L.R.R.L
YAL029C	R.L.L.L.L.L
YAL030W	R.L.R
YAL031C	L.R.R.L
YAL031W-A	R.L.L.R.L
YAL032C	L.R.L
YAL033W	R.R.L
YAL034C	L.R.R.L
YAL034C-B	R.L.L.R.L
YAL034W-A	R.L.R
YAL035W	R.L.L.R.R
YAL036C	R.R.R
YAL037C-A	R.L.L.R.L
YAL037C-B	L.R.L
YAL037W	R.L.L.R.R
YAL038W	R.L.L.R.L
YAL039C	R.R.L
YAL040C	R.R.L
YAL041W	R.L.R
YAL042C-A	L.R.L
YAL042W	R.L.L.R.L
YAL043C	R.L.R
